"name",,"organic","ticks","type","pre1","pre2","pre3","level","lane","size","description"
"Basic Genetic Science",1000,5000,4,"creature",,,,1,1,3,"Genetic science involves the alteration of DNA to produce wildly effective creatures"
"Basic Cybernetics Science",5000,1000,8,"creature",,,,1,2,3,"Cybernetics is the study of the human-machine interface."
"Genetic Engineering",5000,15000,6,"creature","Basic Genetic Science",,,2,1,2,"Genetic engineering fundamentals allows access to more sophisticated genetic engineered creature production"
"Hybrid Engineering",10000,10000,18,"creature","Basic Cybernetics Science","Basic Genetic Science",,2,2,2,"Hybrid engineering fundamentals allows access to more sophisticated genetic engineered and naono-enhanced creature production"
"Cybernetic Engineering",5000,15000,12,"creature","Basic Cybernetics Science",,,2,3,2,"Cybernetic engineering fundamentals allows access to more sophisticated nano-enhanced machines."
"Basic Drake Knowledge",10000,30000,18,"creature","Genetic Engineering",,,3,1,1,"Basic drake knowledge teaches the fundamentals behind genetically engineering dragon class creatures"
"Basic Fairy Knowledge",15000,25000,12,"creature","Genetic Engineering",,,3,2,1,"Basic fairy knowledge teaches the fundamentals behind genetically engineering humanoid like creatures that can take a lot of damage."
"Basic Humanoid Knowledge",12500,25000,12,"creature","Hybrid Engineering",,,3,3,1,"Basic humanoid knowledge teaches the fundamentals behind genetically engineering and nanoenhanced humanoid class creatures."
"Basic Feline Knowledge",20000,20000,6,"creature","Hybrid Engineering",,,3,4,1,"Basic feline knowledge teaches the fundamentals behind genetically engineering and nano-enhanced cats"
"Basic Legged Cybernetic Knowledge",30000,15000,18,"creature","Cybernetic Engineering",,,3,5,1,"Basic legged cybernetic knowledge teaches the fundamentals behind nano-enhanced machines that mimic the most dangerous of creatures."
"Basic Tracked Cybernetic Knowledge",40000,10000,24,"creature","Cybernetic Engineering",,,3,6,1,"Basic tracked cybernetic knowledge extends the human machine interface until there is no way to seperate the two."
"Imp Knowledge",30000,100000,36,"creature","Basic Drake Knowledge",,,4,1,1,"Knowledge of imp  research opens the ability to make Imp.  Imps are the smallest dragons, barely bigger then a cat.  But they can still breathe fire and are very dangerous."
"Sprite Knowledge",40000,60000,12,"creature","Basic Fairy Knowledge",,,4,2,1,"Knowledge of doomcrusher research opens the ability to make Doomcrusher, the most powerful of the tracked cybernetic class creatures."
"Ogre Knowledge",50000,65000,18,"creature","Basic Humanoid Knowledge",,,4,3,1,"Knowledge of ogre research opens the ability to make Ogres,  Ogres are a bit larger and stronger then an ordinary person, but they are a lot dumber."
"Cheetah Knowledge",50000,50000,24,"creature","Basic Feline Knowledge",,,4,4,1,"Knowledge of cheetah research opens the ability to make Cheetahs.  Cheetahs in space.  Very scary."
"Cyborg Knowledge",70000,40000,36,"creature","Basic Legged Cybernetic Knowledge",,,4,5,1,"Knowledge of cyborg research opens the ability to make Cyborg.  Cybors are two legged beasts.  They look like man, but clearly aren't."
"Humvee Knowledge",100000,40000,48,"creature","Basic Tracked Cybernetic Knowledge",,,4,6,1,"Knowledge of humvee research opens the ability to make Humvees.  Though technically not on a track, these vehicles are a lot faster then tanks and almost as capable."
